Instance,CHID,StartTime,Duration_s,Successful
639,24,19769.1,36.2683,Yes
640,25,19805.4,37.7144,Yes
641,40,19843.1,32.646,Yes
642,80,19875.7,36.3098,Yes
643,51,19912,22.511,Yes
644,31,19934.6,13.1551,Yes
645,3,19947.7,15.0222,Yes
646,57,19962.7,34.3274,Yes
647,61,19997.1,26.8977,Yes
648,69,20024,33.1113,Yes
649,81,20057.1,29.5087,Yes
650,7,20167.3,14.6398,Yes
651,0,20181.9,17.7576,Yes
652,1,20199.7,21.8373,Yes
653,15,20221.5,37.5532,Yes
654,31,20259.1,15.1534,Yes
655,11,20274.2,22.9043,Yes
656,16,20297.1,25.989,Yes
657,23,20323.1,25.3981,Yes
658,32,20348.5,24.9032,Yes
659,39,20373.4,23.5905,Yes
660,41,20397,19.4626,Yes
661,56,20416.5,11.8571,Yes
662,61,20428.3,7.30781,Yes
663,52,20435.7,31.8307,Yes
664,64,20467.5,31.0971,Yes
665,14,20498.6,29.9921,Yes
666,27,20528.6,27.4607,Yes
667,2,20556,34.8334,Yes
668,35,20590.9,21.0196,Yes
669,38,20611.9,20.9425,Yes
670,44,20632.8,36.7567,Yes
671,50,20669.6,36.9755,Yes
672,62,20754.3,10.8488,Yes
673,66,20765.1,13.5071,Yes
674,79,20778.6,37.3899,Yes
675,87,20816,27.1416,Yes
676,89,20843.2,14.916,Yes
677,1,20946.2,16.4175,Yes
678,0,20962.6,21.8373,Yes
679,3,20984.4,36.1523,Yes
680,9,21020.6,25.4175,Yes
681,11,21046,13.7444,Yes
682,10,21059.8,16.867,Yes
683,4,21076.6,25.2341,Yes
684,2,21101.9,33.271,Yes
685,5,21135.1,25.1559,Yes
686,6,21160.3,36.7368,Yes
687,12,21197,37.4753,Yes
688,14,21234.5,32.2847,Yes
689,27,21266.8,27.4607,Yes
690,22,21294.2,18.9968,Yes
691,16,21313.2,1.65693,Yes
692,17,21314.9,35.0947,Yes
693,13,21350,3.70433,Yes
694,23,21353.7,16.1433,Yes
695,20,21369.8,30.4908,Yes
696,15,21400.3,29.6114,Yes
697,51,21429.9,37.918,Yes
698,34,21512.1,27.1699,Yes
699,32,21539.3,24.1186,Yes
700,37,21563.4,35.8694,Yes
701,41,21599.3,35.1247,Yes
702,27,21729.1,37.1565,Yes
703,28,21766.2,28.4676,Yes
704,35,21794.7,34.024,Yes
705,38,21828.7,20.9425,Yes
706,44,21849.7,36.7567,Yes
